year;N_v;N_s;SU;J;H0m;H0f;H1m;H1f;Hadm;Hadf;C0;Cf;Cm;B1;B2;B3+;Btot;Remark
2005;NA;4963;2843;1461;66;56;58;60;429;195;509;1016;923;184;162;578;924;
2006;5900;6302;3304;1570;97;67;113;47;418;296;572;1200;967;203;255;509;967;Including_killed_by_lightening
2007;NA;6464;3607;1626;94;95;58;32;255;200;228;459;313;65;70;179;314;
2008;7000;6847;4013;1863;78;53;81;36;165;245;0;0;0;0;0;0;0;
2009;NA;8776;4999;2060;85;65;76;30;178;250;765;1677;1210;182;292;729;1203;
2010;8045;8673;4853;1906;83;66;121;66;246;375;583;1380;1104;221;224;656;1101;
2011;8825;7793;4505;2116;172;125;200;60;308;523;503;935;767;165;137;465;767;
2012;9275;6790;3514;1373;111;81;220;73;315;380;389;720;718;170;157;391;718;
2013;10175;11639;6619;2564;232;182;227;136;629;681;564;1354;975;200;208;567;975;
2014;10195;9209;5631;2861;264;238;290;176;516;1091;51;128;123;34;34;55;123;
2015;NA;8034;4987;1777;182;116;306;103;398;577;481;1113;774;189;189;545;923;
2016;NA;8260;4484;2020;215;219;232;112;445;938;786;1290;1401;170;257;973;1400;
2017;6842;7237;3343;1673;122;106;118;70;551;427;338;797;549;98;91;360;549;
2018;6862;5580;3420;1732;49;27;34;21;437;116;0;0;0;0;0;0;0;
2019;NA;8158;4551;2103;32;23;11;2;1260;31;422;1430;711;160;221;330;711;Including_fallen_stock
2020;NA;6718;4242;1883;60;49;87;61;723;431;1277;3484;765;NA;448;317;765;
2021;NA;7329;4499;1918;231;243;102;122;753;523;752;1514;567;210;155;202;567;
